pattern,translation,tags,parents,output
*/VV/*+야/EF/*,must ~
*/NN/*+에게/JKB/*,to ~
*/NN/*+에게/JKB/*+만/JX/*,only to ~
*/NP/*+에게/JKB/*+만/JX/*,only to ~
*/VV/*+나요/EF/*,~?
*/VV/*+ㅂ니까/EF/*,~?
*/VV/*+ㅂ니까/EC/*,~?
*/NP/*+에/JKB/*,at/to ~
*/NN/*+이/VCP/*+었/EP/*+습니다/EF/*,was ~
*/NP/*+이/VCP/*+었/EP/*+습니까/EF/*,was ~
*/VV/*+러/EC/*,in order to ~
*/NP/*+에게/JKB/*,to ~
*/VV/*+어/EF/*,~
*/NN/*+보다/JKB/*,compared to/than ~
*/VV/*+어서/EC/*,"~, so..."
*/VV/*+어서/EF/*,"~, so..."
*/VV/*+었/EP/*+다/EF/*,~ed
*/VV/*+은/ETM/*,that ~ed
*/NN/*+이/VCP/*+야/EF/*,is ~
*/VV/*+니/EF/*,~?
*/VV/*+었/EP/*+니/EF/*,~ed?
*/VA/*+었/EP/*+습니다/EF/*,was ~
*/VV/*+었/EP/*+나요/EF/*,~ed?
*/NN/*+부터/JX/*,starting from ~
*/VV/*+었/EP/*+어/EF/*,~ed
*/VV/*+었/EP/*+습니까/EF/*,~ed?
*/VA/*+을/ETM/*,will be ~
*/VA/*+어/EF/*,~
*/NP/*+서/JKB/*,from ~
*/VV/*+기/ETN/*+ㄹ/JKO/*,~ing
*/NN/*+만/JX/*,~ only
*/NN/*+까지/JX/*,to/until ~
*/NP/*+까지/JX/*,to/until ~
*/NN/*+까지/JX/*+ㄴ/JX/*,to/until ~,topic
*/NP/*+까지/JX/*+ㄴ/JX/*,to/until ~,topic
*/NN/*+까지/JX/*+만/JX/*,only to/until ~
*/NP/*+까지/JX/*+만/JX/*,only to/until ~
*/VV/*+지만/EC/*,"~, but..."
*/VA/*+요/EF/*,~
*/NP/*+보다/JKB/*,compared to/than ~
*/VV/*+라고/EC/*,command to ~
*/VV/*+라고/EF/*,command to ~
*/VV/*+라고요/EF/*,command to ~
*/NP/*+에서/JKB/*,from ~
*/NN/*+이/VCP/*+ㄴ가요/EF/*,is ~?
*/VA/*+습니까/EF/*,~?
*/VA/*+기/ETN/*,being ~
*/VA/*+기/ETN/*+ㄴ/JX/*,being ~
*/VA/*+기/ETN/*+도/JX/*,being ~ also; even being ~
*/NP/*+도/JX/*,~ also
